år,Value,Utdanningsnivå - scenario
2000,33,Grunnskolenivå - historisk
2001,32.5,Grunnskolenivå - historisk
2002,31.9,Grunnskolenivå - historisk
2003,31.5,Grunnskolenivå - historisk
2004,31,Grunnskolenivå - historisk
2005,30.5,Grunnskolenivå - historisk
2006,30.2,Grunnskolenivå - historisk
2007,29.7,Grunnskolenivå - historisk
2008,29.2,Grunnskolenivå - historisk
2009,28.7,Grunnskolenivå - historisk
2010,28.2,Grunnskolenivå - historisk
2019,28.1247,Yrkeskompetanse - historisk
2035,27.9451426381077,UH_kort - scenario2
2020,27.936,Yrkeskompetanse - historisk
2021,27.792,Yrkeskompetanse - historisk
2017,27.7219,Yrkeskompetanse - historisk
2011,27.7,Grunnskolenivå - historisk
2018,27.69,Yrkeskompetanse - historisk
2034,27.6497914153181,UH_kort - scenario2
2022,27.5422,Yrkeskompetanse - historisk
2033,27.3544401925285,UH_kort - scenario2
2012,27.3,Grunnskolenivå - historisk
2023,27.0686,Yrkeskompetanse - historisk
2032,27.0590889697389,UH_kort - scenario2
2013,27,Grunnskolenivå - historisk
2024,26.8447483948117,Yrkeskompetanse - scenario3
2031,26.7637377469493,UH_kort - scenario2
2024,26.6617023815886,Yrkeskompetanse - scenario1
2025,26.6617023815886,Yrkeskompetanse - scenario3
2026,26.4786563683654,Yrkeskompetanse - scenario3
2030,26.4683865241597,UH_kort - scenario2
2014,26.3,Grunnskolenivå - historisk
2024,26.2956103551423,Yrkeskompetanse - scenario2
2025,26.2956103551423,Yrkeskompetanse - scenario1
2027,26.2956103551423,Yrkeskompetanse - scenario3
2029,26.1730353013701,UH_kort - scenario2
2035,26.1730353013701,UH_kort - scenario1
2028,26.1125643419192,Yrkeskompetanse - scenario3
2034,26.0253596899753,UH_kort - scenario1
2015,26,Grunnskolenivå - historisk
2035,25.9674984912052,UH_lang - scenario2
2026,25.9295183286961,Yrkeskompetanse - scenario1
2029,25.9295183286961,Yrkeskompetanse - scenario3
2028,25.8776840785805,UH_kort - scenario2
2033,25.8776840785805,UH_kort - scenario1
2030,25.7464723154729,Yrkeskompetanse - scenario3
2032,25.7300084671858,UH_kort - scenario1
2016,25.7,Grunnskolenivå - historisk
2027,25.582332855791,UH_kort - scenario2
2031,25.582332855791,UH_kort - scenario1
2025,25.5634263022498,Yrkeskompetanse - scenario2
2027,25.5634263022498,Yrkeskompetanse - scenario1
2031,25.5634263022498,Yrkeskompetanse - scenario3
2030,25.4346572443962,UH_kort - scenario1
2017,25.4,Grunnskolenivå - historisk
2032,25.3803802890267,Yrkeskompetanse - scenario3
2026,25.2869816330014,UH_kort - scenario2
2029,25.2869816330014,UH_kort - scenario1
2035,25.2869816330014,UH_kort - scenario3
2034,25.213143827304,UH_kort - scenario3
2028,25.1973342758036,Yrkeskompetanse - scenario1
2033,25.1973342758036,Yrkeskompetanse - scenario3
2028,25.1393060216066,UH_kort - scenario1
2033,25.1393060216066,UH_kort - scenario3
2032,25.0654682159092,UH_kort - scenario3
2034,25.0142882625805,Yrkeskompetanse - scenario3
2025,24.9916304102118,UH_kort - scenario2
2027,24.9916304102118,UH_kort - scenario1
2031,24.9916304102118,UH_kort - scenario3
2030,24.9177926045144,UH_kort - scenario3
2018,24.9,Grunnskolenivå - historisk
2026,24.843954798817,UH_kort - scenario1
2029,24.843954798817,UH_kort - scenario3
2034,24.8318003937024,UH_lang - scenario2
2026,24.8312422493573,Yrkeskompetanse - scenario2
2029,24.8312422493573,Yrkeskompetanse - scenario1
2035,24.8312422493573,Yrkeskompetanse - scenario3
2028,24.7701169931196,UH_kort - scenario3
2024,24.6962791874222,UH_kort - scenario2
2025,24.6962791874222,UH_kort - scenario1
2027,24.6962791874222,UH_kort - scenario3
2026,24.6224413817248,UH_kort - scenario3
2024,24.5486035760274,UH_kort - scenario1
2025,24.5486035760274,UH_kort - scenario3
2019,24.5,Grunnskolenivå - historisk
2024,24.47476577033,UH_kort - scenario3
2030,24.4651502229111,Yrkeskompetanse - scenario1
2023,24.1,UH_kort - historisk
2027,24.0990581964648,Yrkeskompetanse - scenario2
2031,24.0990581964648,Yrkeskompetanse - scenario1
2022,24,UH_kort - historisk
2020,23.9,Grunnskolenivå - historisk
2021,23.8,UH_kort - historisk
2032,23.7329661700186,Yrkeskompetanse - scenario1
2033,23.6961022961997,UH_lang - scenario2
2020,23.5,UH_kort - historisk
2028,23.3668741435723,Yrkeskompetanse - scenario2
2033,23.3668741435723,Yrkeskompetanse - scenario1
2021,23.3,Grunnskolenivå - historisk
2019,23.2,UH_kort - historisk
