År,Prosent,Alder
2034,314304,20-66 år
2033,314159,20-66 år
2035,314125,20-66 år
2036,313857,20-66 år
2032,313775,20-66 år
2037,313568,20-66 år
2031,313373,20-66 år
2038,313252,20-66 år
2039,312541,20-66 år
2030,312525,20-66 år
2040,311847,20-66 år
2029,311522,20-66 år
2041,311008,20-66 år
2042,310503,20-66 år
2028,310448,20-66 år
2043,309611,20-66 år
2027,309560,20-66 år
2044,308784,20-66 år
2026,308149,20-66 år
2045,307852,20-66 år
2046,306821,20-66 år
2025,305982,20-66 år
2047,305748,20-66 år
2048,304634,20-66 år
2049,303638,20-66 år
2024,303163,20-66 år
2050,302522,20-66 år
2023,298805,20-66 år
2022,295458,20-66 år
2021,294310,20-66 år
2020,292983,20-66 år
2019,290491,20-66 år
2017,289491,20-66 år
2016,289443,20-66 år
2018,289421,20-66 år
2015,287652,20-66 år
2014,283410,20-66 år
2013,278748,20-66 år
2012,272397,20-66 år
2011,267476,20-66 år
2010,261871,20-66 år
2009,256863,20-66 år
2008,250608,20-66 år
2007,243974,20-66 år
2006,238760,20-66 år
2005,235418,20-66 år
2004,232352,20-66 år
2003,229545,20-66 år
2002,226489,20-66 år
2001,224279,20-66 år
2000,222625,20-66 år
1999,219683,20-66 år
1998,216193,20-66 år
1997,213576,20-66 år
1996,211454,20-66 år
1995,209414,20-66 år
1994,206878,20-66 år
1993,203605,20-66 år
1992,200099,20-66 år
1991,197099,20-66 år
1990,195597,20-66 år
1989,193547,20-66 år
1988,190775,20-66 år
1987,188734,20-66 år
1986,186034,20-66 år
2050,124771,67 år eller eldre
2049,122969,67 år eller eldre
2048,121268,67 år eller eldre
2047,119453,67 år eller eldre
2046,117647,67 år eller eldre
2045,115874,67 år eller eldre
2044,114239,67 år eller eldre
2043,112577,67 år eller eldre
2042,110765,67 år eller eldre
2041,108829,67 år eller eldre
2040,106781,67 år eller eldre
2039,104695,67 år eller eldre
2038,102486,67 år eller eldre
2037,100308,67 år eller eldre
2036,97888,67 år eller eldre
2035,95421,67 år eller eldre
2034,92940,67 år eller eldre
2033,90661,67 år eller eldre
2032,88364,67 år eller eldre
2031,85982,67 år eller eldre
2030,83753,67 år eller eldre
2029,81659,67 år eller eldre
2028,79519,67 år eller eldre
2027,77355,67 år eller eldre
2026,75304,67 år eller eldre
2025,73249,67 år eller eldre
2024,71067,67 år eller eldre
2023,68917,67 år eller eldre
2022,66777,67 år eller eldre
2024,66070,6-15 år
2023,65622,6-15 år
2025,65427,6-15 år
2022,65015,6-15 år
2021,64736,6-15 år
2021,64689,67 år eller eldre
2026,64642,6-15 år
2020,64362,6-15 år
2019,63841,6-15 år
2027,63465,6-15 år
2018,63122,6-15 år
2028,62785,6-15 år
2020,62604,67 år eller eldre
2017,62499,6-15 år
2016,61679,6-15 år
2029,61575,6-15 år
2015,61030,6-15 år
2030,60587,6-15 år
2019,60552,67 år eller eldre
2014,60421,6-15 år
2013,60125,6-15 år
2011,59657,6-15 år
2007,59650,6-15 år
2049,59637,6-15 år
2012,59624,6-15 år
2050,59609,6-15 år
2010,59578,6-15 år
2048,59568,6-15 år
2031,59553,6-15 år
2006,59538,6-15 år
2008,59529,6-15 år
2047,59398,6-15 år
2009,59311,6-15 år
2046,59157,6-15 år
2005,59107,6-15 år
2045,58853,6-15 år
2004,58756,6-15 år
2018,58722,67 år eller eldre
2032,58626,6-15 år
2044,58473,6-15 år
2003,58057,6-15 år
2043,58044,6-15 år
2033,57714,6-15 år
2042,57611,6-15 år
2002,57159,6-15 år
2041,57135,6-15 år
2034,57029,6-15 år
2017,56819,67 år eller eldre
2035,56686,6-15 år
2040,56657,6-15 år
2036,56469,6-15 år
2037,56375,6-15 år
2039,56339,6-15 år
2001,56240,6-15 år
2038,56079,6-15 år
2000,55429,6-15 år
2016,55016,67 år eller eldre
1999,54492,6-15 år
1998,53514,6-15 år
2015,53302,67 år eller eldre
1997,52371,6-15 år
1986,51579,6-15 år
1996,51484,6-15 år
2014,51482,67 år eller eldre
1987,51215,6-15 år
1995,51045,6-15 år
1988,50521,6-15 år
1994,50462,6-15 år
1989,50276,6-15 år
1993,49837,6-15 år
2013,49819,67 år eller eldre
1990,49814,6-15 år
1991,49420,6-15 år
1992,49398,6-15 år
2012,48361,67 år eller eldre
2011,47090,67 år eller eldre
2010,45990,67 år eller eldre
2009,45118,67 år eller eldre
2008,44654,67 år eller eldre
2007,44234,67 år eller eldre
2006,43779,67 år eller eldre
2005,43481,67 år eller eldre
2004,43231,67 år eller eldre
2001,43196,67 år eller eldre
2002,43140,67 år eller eldre
2000,43136,67 år eller eldre
2003,43090,67 år eller eldre
1999,42942,67 år eller eldre
1998,42814,67 år eller eldre
1997,42655,67 år eller eldre
1996,42504,67 år eller eldre
1995,42473,67 år eller eldre
1994,42246,67 år eller eldre
1993,41998,67 år eller eldre
1992,41641,67 år eller eldre
1991,41225,67 år eller eldre
1990,40708,67 år eller eldre
1989,39967,67 år eller eldre
2014,39218,0-5 år
2015,39183,0-5 år
1988,39055,67 år eller eldre
2016,38773,0-5 år
2013,38750,0-5 år
2012,38177,0-5 år
2017,37974,0-5 år
1987,37795,67 år eller eldre
2018,37386,0-5 år
2011,37363,0-5 år
1986,37087,67 år eller eldre
2019,36351,0-5 år
2010,36218,0-5 år
2020,35742,0-5 år
2009,35255,0-5 år
2000,35075,0-5 år
1998,35009,0-5 år
1997,35006,0-5 år
2041,35005,0-5 år
1999,34985,0-5 år
1996,34984,0-5 år
2040,34975,0-5 år
2021,34958,0-5 år
2042,34937,0-5 år
2039,34853,0-5 år
2043,34838,0-5 år
2001,34811,0-5 år
1995,34798,0-5 år
2044,34696,0-5 år
2038,34665,0-5 år
2045,34530,0-5 år
2022,34443,0-5 år
1994,34440,0-5 år
2002,34426,0-5 år
2037,34402,0-5 år
2046,34310,0-5 år
2008,34293,0-5 år
2036,34070,0-5 år
2047,34069,0-5 år
2003,33972,0-5 år
2023,33929,0-5 år
1993,33845,0-5 år
2048,33791,0-5 år
2007,33783,0-5 år
2035,33702,0-5 år
2004,33696,0-5 år
2005,33547,0-5 år
2049,33500,0-5 år
2024,33415,0-5 år
2006,33383,0-5 år
2034,33355,0-5 år
2025,33293,0-5 år
2050,33197,0-5 år
2033,33046,0-5 år
1992,32941,0-5 år
2026,32858,0-5 år
2032,32768,0-5 år
2027,32610,0-5 år
2031,32513,0-5 år
2030,32261,0-5 år
2029,32173,0-5 år
2028,32112,0-5 år
1991,31957,0-5 år
1990,31103,0-5 år
1989,30432,0-5 år
1988,29874,0-5 år
1987,29653,0-5 år
1986,29624,0-5 år
2028,27635,16-19 år
2029,27537,16-19 år
2027,27374,16-19 år
2030,27136,16-19 år
2026,27059,16-19 år
2031,26649,16-19 år
2025,26545,16-19 år
2032,26346,16-19 år
2033,26089,16-19 år
2034,25841,16-19 år
2024,25702,16-19 år
2035,25326,16-19 år
2016,25264,16-19 år
2017,25241,16-19 år
2015,25135,16-19 år
2014,25094,16-19 år
2023,25077,16-19 år
2018,24875,16-19 år
2036,24778,16-19 år
2013,24717,16-19 år
2012,24556,16-19 år
2011,24501,16-19 år
2019,24419,16-19 år
2010,24290,16-19 år
2020,24201,16-19 år
2037,24136,16-19 år
2022,24104,16-19 år
2009,24027,16-19 år
2038,23960,16-19 år
2021,23952,16-19 år
2008,23603,16-19 år
2039,23593,16-19 år
2050,23451,16-19 år
2040,23259,16-19 år
2049,23254,16-19 år
2048,23080,16-19 år
2041,22961,16-19 år
2007,22925,16-19 år
2047,22912,16-19 år
2046,22778,16-19 år
2045,22637,16-19 år
2044,22491,16-19 år
2042,22457,16-19 år
2043,22452,16-19 år
1988,22405,16-19 år
1987,22249,16-19 år
1989,22240,16-19 år
2006,22134,16-19 år
1986,22097,16-19 år
1990,21666,16-19 år
2005,21551,16-19 år
1991,21359,16-19 år
1992,20896,16-19 år
2004,20813,16-19 år
1993,20502,16-19 år
2003,20356,16-19 år
1999,20259,16-19 år
2000,20232,16-19 år
2002,20161,16-19 år
1998,20104,16-19 år
1997,20061,16-19 år
1994,20043,16-19 år
2001,20012,16-19 år
1995,19941,16-19 år
1996,19855,16-19 år
